code_ral,name_fr,rgba,hex
085 30 20,Bitume,"rgba(82,66,35,1)",#524223
085 40 10,Beige nacré,"rgba(102,93,78,1)",#665D4E
085 40 20,Bureau,"rgba(106,90,57,1)",#6A5A39
085 40 30,Café au lait,"rgba(113,91,46,1)",#715B2E
085 50 10,Gris Rabat,"rgba(126,116,99,1)",#7E7463
085 50 20,Bistre,"rgba(134,116,82,1)",#867452
085 50 30,Châtain,"rgba(140,115,64,1)",#8C7340
085 50 40,Terre d'ombre,"rgba(142,113,46,1)",#8E712E
085 50 50,Terre d'ombre,"rgba(147,112,22,1)",#937016
085 60 10,Canelle,"rgba(153,143,127,1)",#998F7F
085 60 20,Bronze,"rgba(161,142,107,1)",#A18E6B
085 60 30,Sépia,"rgba(167,140,89,1)",#A78C59
085 60 40,Tabac,"rgba(172,139,70,1)",#AC8B46
085 60 50,Poil de chameau,"rgba(177,139,50,1)",#B18B32
085 60 60,Jaune doré foncée,"rgba(182,139,19,1)",#B68B13
085 70 10,Beige cachemire,"rgba(179,169,150,1)",#B3A996
085 70 20,Beige cachemire,"rgba(188,168,133,1)",#BCA885
085 70 30,Caramel,"rgba(194,167,112,1)",#C2A770
085 70 40,Jaune sable,"rgba(199,165,95,1)",#C7A55F
085 70 50,Fauve,"rgba(205,164,73,1)",#CDA449
085 70 60,Jaune or,"rgba(208,163,46,1)",#D0A32E
085 70 70,Jaune narcisse,"rgba(212,162,7,1)",#D4A207
085 70 75,Jaune narcisse,"rgba(217,164,0,1)",#D9A400
085 80 10,Gris soie,"rgba(208,197,177,1)",#D0C5B1
085 80 20,Isabelle,"rgba(216,196,159,1)",#D8C49F
085 80 30,Bois massif,"rgba(225,195,139,1)",#E1C38B
085 80 40,Blond,"rgba(229,194,121,1)",#E5C279
085 80 50,Jaune mimosa,"rgba(234,192,100,1)",#EAC064
085 80 60,Mars,"rgba(239,191,77,1)",#EFBF4D
085 80 70,Safran,"rgba(243,189,50,1)",#F3BD32
085 80 80,Gomme-gutte,"rgba(245,187,0,1)",#F5BB00
085 80 85,Gomme-gutte,"rgba(246,187,0,1)",#F6BB00
085 90 10,Parchemin,"rgba(241,229,209,1)",#F1E5D1
085 90 20,Bis,"rgba(247,224,186,1)",#F7E0BA
085 90 30,Blanc navarro,"rgba(253,221,167,1)",#FDDDA7
090 20 10,Brun sépia,"rgba(54,46,30,1)",#362E1E
090 30 10,Gris brun,"rgba(75,68,51,1)",#4B4433
